City,Datetime,PM2.5,PM10,NO2,CO,SO2,O3,AQI,risk_level,Date,Year,Month,DayOfWeek,risk_label
Delhi,25-04-2015,204.1,11.7,10.2,6.0,51.3,42.1,181.9,Low,2015-04-25,2015,4,5,0
Mumbai,25-04-2015,321.9,467.8,121.6,0.19,98.9,141.0,368.0,High,2015-04-25,2015,4,5,2
Chennai,25-04-2015,65.9,83.2,121.5,1.29,49.2,47.2,262.7,Low,2015-04-25,2015,4,5,0
Kolkata,25-04-2015,58.5,0.2,109.2,8.29,21.5,116.6,74.7,High,2015-04-25,2015,4,5,2
Bangalore,25-04-2015,104.3,538.7,70.5,4.32,66.3,72.7,67.0,High,2015-04-25,2015,4,5,2
Delhi,26-04-2015,106.1,41.4,16.0,8.81,59.1,195.2,12.9,High,2015-04-26,2015,4,6,2
Mumbai,26-04-2015,472.5,313.0,112.4,1.01,84.8,96.1,278.5,High,2015-04-26,2015,4,6,2
Chennai,26-04-2015,400.2,231.7,44.1,9.51,60.0,63.9,285.3,Low,2015-04-26,2015,4,6,0
Kolkata,26-04-2015,157.9,523.1,83.0,2.69,17.0,71.5,186.0,Low,2015-04-26,2015,4,6,0
Bangalore,26-04-2015,285.2,420.5,7.8,0.57,8.6,54.1,273.6,Low,2015-04-26,2015,4,6,0
Delhi,27-04-2015,354.9,508.9,68.5,9.3,51.0,12.5,149.5,Low,2015-04-27,2015,4,0,0
Mumbai,27-04-2015,225.3,332.6,100.7,4.31,34.0,10.1,222.4,High,2015-04-27,2015,4,0,2
Chennai,27-04-2015,420.0,280.0,89.5,3.9,45.2,199.9,131.1,Low,2015-04-27,2015,4,0,0
Kolkata,27-04-2015,166.8,276.2,125.5,1.28,39.2,151.6,234.3,Moderate,2015-04-27,2015,4,0,1
Bangalore,27-04-2015,18.2,554.7,48.9,8.76,68.2,48.6,185.8,High,2015-04-27,2015,4,0,2
Delhi,28-04-2015,173.6,196.2,145.9,8.03,78.5,45.2,149.9,High,2015-04-28,2015,4,1,2
Mumbai,28-04-2015,226.9,33.6,46.2,3.11,73.5,174.6,474.9,High,2015-04-28,2015,4,1,2
Chennai,28-04-2015,179.4,419.3,67.0,4.08,11.5,170.6,383.5,High,2015-04-28,2015,4,1,2
Kolkata,28-04-2015,157.2,496.1,4.3,5.83,2.5,199.5,33.6,High,2015-04-28,2015,4,1,2
Bangalore,28-04-2015,270.6,433.1,103.8,5.84,77.9,79.7,40.6,High,2015-04-28,2015,4,1,2
Delhi,29-04-2015,82.8,532.4,5.9,8.95,99.6,13.4,392.8,High,2015-04-29,2015,4,2,2
Mumbai,29-04-2015,120.3,40.8,90.3,3.26,51.7,96.8,422.2,High,2015-04-29,2015,4,2,2
Chennai,29-04-2015,134.5,26.8,60.4,4.11,24.7,24.1,495.6,Low,2015-04-29,2015,4,2,0
Kolkata,29-04-2015,284.5,269.8,118.7,4.59,40.9,103.4,200.2,High,2015-04-29,2015,4,2,2
Bangalore,29-04-2015,328.3,14.8,121.0,4.29,39.4,141.0,395.5,High,2015-04-29,2015,4,2,2
Delhi,30-04-2015,334.1,351.2,68.0,1.69,19.9,27.9,106.3,High,2015-04-30,2015,4,3,2
Mumbai,30-04-2015,317.2,426.0,70.9,8.76,8.9,77.3,436.7,Moderate,2015-04-30,2015,4,3,1
Chennai,30-04-2015,217.0,31.3,37.0,7.77,69.8,169.4,124.5,Low,2015-04-30,2015,4,3,0
Kolkata,30-04-2015,271.9,465.4,110.3,4.93,55.4,63.7,386.3,Low,2015-04-30,2015,4,3,0
Bangalore,30-04-2015,326.2,133.9,103.5,9.63,96.1,143.9,397.5,High,2015-04-30,2015,4,3,2
Delhi,01-05-2015,176.8,97.0,133.9,5.01,4.5,66.4,139.2,Moderate,2015-05-01,2015,5,4,1
Mumbai,01-05-2015,308.9,272.0,70.8,1.22,57.8,169.7,264.7,High,2015-05-01,2015,5,4,2
Chennai,01-05-2015,309.6,165.9,84.1,7.75,10.3,136.6,69.9,High,2015-05-01,2015,5,4,2
Kolkata,01-05-2015,393.2,502.7,48.6,0.85,34.2,99.9,390.8,High,2015-05-01,2015,5,4,2
Bangalore,01-05-2015,55.2,545.8,144.7,4.96,67.8,81.6,338.0,High,2015-05-01,2015,5,4,2
Delhi,02-05-2015,117.2,560.8,92.5,9.82,19.9,148.1,288.3,Low,2015-05-02,2015,5,5,0
Mumbai,02-05-2015,415.8,313.8,46.8,6.66,72.8,72.3,149.1,Moderate,2015-05-02,2015,5,5,1
Chennai,02-05-2015,167.2,306.3,35.1,5.93,51.1,60.4,90.6,Moderate,2015-05-02,2015,5,5,1
Kolkata,02-05-2015,297.3,258.7,145.8,3.91,95.3,158.0,253.9,High,2015-05-02,2015,5,5,2
Bangalore,02-05-2015,144.9,473.6,85.0,3.84,35.9,104.2,261.1,Low,2015-05-02,2015,5,5,0
Delhi,03-05-2015,179.5,469.2,21.5,9.15,46.6,167.0,481.3,Low,2015-05-03,2015,5,6,0
Mumbai,03-05-2015,461.2,276.0,143.9,8.2,74.7,103.7,208.5,High,2015-05-03,2015,5,6,2
Chennai,03-05-2015,234.3,55.4,69.7,6.65,43.0,50.5,327.3,High,2015-05-03,2015,5,6,2
Kolkata,03-05-2015,324.8,369.1,10.7,9.93,80.2,83.7,319.2,High,2015-05-03,2015,5,6,2
Bangalore,03-05-2015,267.7,205.7,97.4,1.4,0.1,173.8,363.5,High,2015-05-03,2015,5,6,2
Delhi,04-05-2015,404.1,486.1,124.6,0.11,83.1,99.4,339.7,High,2015-05-04,2015,5,0,2
Mumbai,04-05-2015,0.7,352.5,97.8,1.94,66.5,2.1,14.8,High,2015-05-04,2015,5,0,2
Chennai,04-05-2015,168.9,523.1,92.5,1.62,83.6,174.7,33.9,Moderate,2015-05-04,2015,5,0,1
Kolkata,04-05-2015,105.6,193.0,81.0,3.06,52.0,26.8,16.4,Low,2015-05-04,2015,5,0,0
Bangalore,04-05-2015,498.7,77.3,114.3,0.79,39.4,174.7,236.3,Low,2015-05-04,2015,5,0,0
Delhi,05-05-2015,175.1,295.2,76.2,5.23,11.7,193.2,420.3,High,2015-05-05,2015,5,1,2
Mumbai,05-05-2015,35.2,426.1,74.1,8.33,99.4,81.2,488.5,High,2015-05-05,2015,5,1,2
Chennai,05-05-2015,168.4,532.3,4.4,2.98,44.6,187.8,492.2,Moderate,2015-05-05,2015,5,1,1
Kolkata,05-05-2015,468.5,339.5,88.8,3.75,28.3,23.7,310.1,High,2015-05-05,2015,5,1,2
Bangalore,05-05-2015,449.4,173.3,22.7,3.47,27.3,27.7,59.7,Low,2015-05-05,2015,5,1,0
Delhi,06-05-2015,20.7,343.3,18.5,3.94,18.4,37.6,482.3,High,2015-05-06,2015,5,2,2
Mumbai,06-05-2015,89.1,521.1,89.8,3.1,80.1,61.6,156.6,Low,2015-05-06,2015,5,2,0
Chennai,06-05-2015,283.8,205.2,50.0,9.16,69.5,132.6,272.9,Low,2015-05-06,2015,5,2,0
Kolkata,06-05-2015,418.2,50.4,132.3,2.79,5.6,74.9,408.4,High,2015-05-06,2015,5,2,2
Bangalore,06-05-2015,436.4,105.4,85.0,8.36,2.3,170.4,416.8,Low,2015-05-06,2015,5,2,0
Delhi,07-05-2015,415.6,50.8,146.9,0.43,56.0,127.8,356.1,High,2015-05-07,2015,5,3,2
Mumbai,07-05-2015,71.0,72.0,98.0,0.68,47.6,112.5,70.3,High,2015-05-07,2015,5,3,2
Chennai,07-05-2015,242.9,533.4,94.5,3.07,26.2,79.7,346.3,High,2015-05-07,2015,5,3,2
Kolkata,07-05-2015,412.1,232.7,11.9,8.76,19.0,38.0,228.5,Low,2015-05-07,2015,5,3,0
Bangalore,07-05-2015,171.6,370.3,100.5,8.12,77.1,93.6,245.6,Low,2015-05-07,2015,5,3,0
Delhi,08-05-2015,124.7,197.1,26.0,9.5,93.5,38.1,278.3,High,2015-05-08,2015,5,4,2
Mumbai,08-05-2015,319.8,190.8,98.0,7.99,52.8,16.9,228.0,High,2015-05-08,2015,5,4,2
Chennai,08-05-2015,239.3,516.0,5.6,3.06,81.2,182.5,54.8,Low,2015-05-08,2015,5,4,0
Kolkata,08-05-2015,460.6,227.9,104.2,0.06,2.1,176.8,382.6,High,2015-05-08,2015,5,4,2
Bangalore,08-05-2015,285.6,330.8,122.6,0.81,98.7,51.6,386.8,Low,2015-05-08,2015,5,4,0
Delhi,09-05-2015,87.0,122.6,66.2,8.11,51.7,162.3,81.5,High,2015-05-09,2015,5,5,2
Mumbai,09-05-2015,455.1,291.9,6.4,9.35,16.1,3.5,131.1,Low,2015-05-09,2015,5,5,0
Chennai,09-05-2015,428.3,53.2,37.9,8.57,16.7,101.6,120.7,High,2015-05-09,2015,5,5,2
Kolkata,09-05-2015,405.8,436.0,12.4,7.03,85.7,191.0,383.2,High,2015-05-09,2015,5,5,2
Bangalore,09-05-2015,25.4,76.7,27.6,1.8,48.5,177.8,119.5,Low,2015-05-09,2015,5,5,0
Delhi,10-05-2015,23.0,330.4,135.5,0.06,55.3,25.3,440.0,High,2015-05-10,2015,5,6,2
Mumbai,10-05-2015,252.6,2.7,40.8,1.37,77.9,124.3,464.4,High,2015-05-10,2015,5,6,2
Chennai,10-05-2015,273.9,182.3,134.7,3.58,69.0,58.2,192.2,High,2015-05-10,2015,5,6,2
Kolkata,10-05-2015,89.6,586.3,114.6,7.03,18.5,28.3,86.6,Low,2015-05-10,2015,5,6,0
Bangalore,10-05-2015,285.4,436.6,100.3,3.13,13.2,67.1,409.1,High,2015-05-10,2015,5,6,2
Delhi,11-05-2015,65.1,95.2,107.8,1.13,20.1,47.5,193.1,Low,2015-05-11,2015,5,0,0
Mumbai,11-05-2015,292.0,135.9,2.0,4.69,75.0,194.6,411.7,Low,2015-05-11,2015,5,0,0
Chennai,11-05-2015,344.4,379.3,7.5,4.15,87.5,46.7,385.9,Low,2015-05-11,2015,5,0,0
Kolkata,11-05-2015,398.0,84.4,20.3,6.86,23.1,36.4,282.9,Moderate,2015-05-11,2015,5,0,1
Bangalore,11-05-2015,264.2,144.3,147.1,2.59,65.5,122.5,157.8,Moderate,2015-05-11,2015,5,0,1
Delhi,12-05-2015,83.8,431.4,118.0,1.34,62.5,16.5,18.5,High,2015-05-12,2015,5,1,2
Mumbai,12-05-2015,44.3,317.8,17.3,1.79,39.8,179.5,400.2,Moderate,2015-05-12,2015,5,1,1
Chennai,12-05-2015,101.0,265.7,144.2,8.21,39.4,173.0,449.1,High,2015-05-12,2015,5,1,2
Kolkata,12-05-2015,451.8,546.7,116.4,1.98,68.7,11.3,487.9,High,2015-05-12,2015,5,1,2
Bangalore,12-05-2015,474.4,433.0,56.1,9.0,95.2,41.3,80.5,High,2015-05-12,2015,5,1,2
Delhi,13-05-2015,336.9,380.5,70.8,2.63,49.2,195.2,442.7,Moderate,2015-05-13,2015,5,2,1
Mumbai,13-05-2015,149.9,472.5,13.9,0.43,92.7,89.0,379.9,High,2015-05-13,2015,5,2,2
Chennai,13-05-2015,208.1,225.9,28.1,7.4,71.8,92.9,6.2,High,2015-05-13,2015,5,2,2
Kolkata,13-05-2015,7.0,409.3,21.1,0.89,25.1,137.8,190.9,High,2015-05-13,2015,5,2,2
Bangalore,13-05-2015,260.6,471.1,136.5,5.0,35.7,46.4,163.2,Moderate,2015-05-13,2015,5,2,1
Delhi,14-05-2015,315.5,17.8,52.9,3.63,36.0,172.2,43.9,Moderate,2015-05-14,2015,5,3,1
Mumbai,14-05-2015,324.1,478.0,1.3,4.58,17.1,166.0,265.7,Low,2015-05-14,2015,5,3,0
Chennai,14-05-2015,417.8,429.1,30.2,1.28,72.9,116.3,456.6,Low,2015-05-14,2015,5,3,0
Kolkata,14-05-2015,356.3,371.3,18.0,1.44,0.8,179.3,276.9,Moderate,2015-05-14,2015,5,3,1
Bangalore,14-05-2015,354.6,582.1,120.8,2.28,76.2,185.0,421.0,Low,2015-05-14,2015,5,3,0
Delhi,15-05-2015,151.4,186.4,46.6,7.97,28.0,132.7,28.9,Low,2015-05-15,2015,5,4,0
Mumbai,15-05-2015,486.2,580.5,41.1,5.71,29.6,116.5,213.2,High,2015-05-15,2015,5,4,2
Chennai,15-05-2015,310.4,390.6,62.5,9.21,70.1,45.6,488.9,Moderate,2015-05-15,2015,5,4,1
Kolkata,15-05-2015,162.0,337.7,31.0,4.63,26.1,195.0,208.3,High,2015-05-15,2015,5,4,2
Bangalore,15-05-2015,14.5,529.5,40.6,0.11,16.9,26.9,370.8,Low,2015-05-15,2015,5,4,0
Delhi,16-05-2015,373.4,507.4,4.5,9.97,7.7,123.4,272.4,Moderate,2015-05-16,2015,5,5,1
Mumbai,16-05-2015,9.1,470.8,57.7,2.87,9.4,47.7,341.6,Low,2015-05-16,2015,5,5,0
Chennai,16-05-2015,308.8,499.6,131.6,0.01,28.4,168.6,464.3,Moderate,2015-05-16,2015,5,5,1
Kolkata,16-05-2015,78.2,88.7,28.9,7.53,64.1,199.1,317.6,High,2015-05-16,2015,5,5,2
Bangalore,16-05-2015,470.5,53.0,58.5,8.38,8.8,52.6,184.0,High,2015-05-16,2015,5,5,2
Delhi,17-05-2015,26.8,70.1,143.8,6.43,40.9,156.6,125.7,High,2015-05-17,2015,5,6,2
Mumbai,17-05-2015,49.1,538.6,107.6,7.41,34.4,7.4,122.1,High,2015-05-17,2015,5,6,2
Chennai,17-05-2015,471.6,76.4,86.7,8.36,29.1,35.1,276.6,Moderate,2015-05-17,2015,5,6,1
Kolkata,17-05-2015,22.7,207.5,21.3,7.07,92.0,153.8,110.0,High,2015-05-17,2015,5,6,2
Bangalore,17-05-2015,107.2,465.9,146.8,1.25,96.6,38.1,29.0,High,2015-05-17,2015,5,6,2
Delhi,18-05-2015,379.6,191.1,93.5,8.24,11.6,97.4,47.8,Moderate,2015-05-18,2015,5,0,1
Mumbai,18-05-2015,475.0,192.4,80.5,9.55,40.2,27.8,124.5,High,2015-05-18,2015,5,0,2
Chennai,18-05-2015,483.4,54.3,73.6,0.1,39.4,69.4,60.9,Low,2015-05-18,2015,5,0,0
Kolkata,18-05-2015,24.5,218.8,76.2,4.41,8.8,109.6,157.5,High,2015-05-18,2015,5,0,2
Bangalore,18-05-2015,137.5,446.2,113.9,6.57,40.4,177.3,23.6,High,2015-05-18,2015,5,0,2
Delhi,19-05-2015,259.9,594.2,45.2,4.35,7.9,24.0,331.4,Low,2015-05-19,2015,5,1,0
Mumbai,19-05-2015,49.6,150.5,88.0,5.53,51.0,153.5,429.1,Low,2015-05-19,2015,5,1,0
Chennai,19-05-2015,120.6,498.4,104.3,2.37,68.1,156.2,90.4,High,2015-05-19,2015,5,1,2
Kolkata,19-05-2015,18.3,409.8,72.8,2.92,5.7,164.4,361.0,Low,2015-05-19,2015,5,1,0
Bangalore,19-05-2015,58.5,505.1,66.6,1.11,68.0,59.9,386.5,High,2015-05-19,2015,5,1,2
Delhi,20-05-2015,243.1,95.7,121.4,8.6,4.7,41.4,404.5,Low,2015-05-20,2015,5,2,0
Mumbai,20-05-2015,217.5,477.4,132.5,0.5,17.4,148.3,308.5,High,2015-05-20,2015,5,2,2
Chennai,20-05-2015,470.2,61.3,51.4,3.59,58.7,118.8,462.0,Moderate,2015-05-20,2015,5,2,1
Kolkata,20-05-2015,73.5,180.3,101.6,7.55,13.4,54.9,275.3,Moderate,2015-05-20,2015,5,2,1
Bangalore,20-05-2015,302.6,440.2,64.9,5.94,62.2,123.5,415.1,High,2015-05-20,2015,5,2,2
Delhi,21-05-2015,55.1,590.8,60.4,6.13,51.0,185.9,225.0,High,2015-05-21,2015,5,3,2
Mumbai,21-05-2015,433.3,590.5,33.1,4.01,75.2,93.1,293.7,Moderate,2015-05-21,2015,5,3,1
Chennai,21-05-2015,496.8,177.5,82.2,6.43,18.3,10.3,421.0,Low,2015-05-21,2015,5,3,0
Kolkata,21-05-2015,471.9,114.1,141.8,6.8,16.2,90.9,258.3,High,2015-05-21,2015,5,3,2
Bangalore,21-05-2015,427.6,544.6,21.4,4.82,59.7,128.8,465.9,High,2015-05-21,2015,5,3,2
Delhi,22-05-2015,202.6,27.3,26.6,9.05,7.5,31.6,463.8,High,2015-05-22,2015,5,4,2
Mumbai,22-05-2015,195.8,342.9,106.2,7.91,51.2,102.7,457.5,High,2015-05-22,2015,5,4,2
Chennai,22-05-2015,149.8,143.8,97.8,1.4,99.3,124.2,458.9,Low,2015-05-22,2015,5,4,0
Kolkata,22-05-2015,315.6,388.5,87.9,1.35,34.7,53.5,410.3,Low,2015-05-22,2015,5,4,0
Bangalore,22-05-2015,209.4,196.1,13.1,6.47,17.9,72.9,155.6,Low,2015-05-22,2015,5,4,0
Delhi,23-05-2015,315.6,534.9,13.3,7.84,30.3,166.5,407.5,Low,2015-05-23,2015,5,5,0
Mumbai,23-05-2015,18.8,518.6,49.5,6.61,1.3,21.4,51.2,Low,2015-05-23,2015,5,5,0
Chennai,23-05-2015,83.2,158.6,118.1,7.6,62.8,154.1,72.4,High,2015-05-23,2015,5,5,2
Kolkata,23-05-2015,221.8,115.6,7.2,1.59,77.7,87.9,248.7,High,2015-05-23,2015,5,5,2
Bangalore,23-05-2015,23.4,298.2,147.6,2.51,8.1,150.6,141.2,High,2015-05-23,2015,5,5,2
Delhi,24-05-2015,293.9,406.7,98.9,7.48,12.2,177.4,409.6,Moderate,2015-05-24,2015,5,6,1
Mumbai,24-05-2015,410.4,324.7,26.1,1.45,76.9,162.2,324.1,Low,2015-05-24,2015,5,6,0
Chennai,24-05-2015,138.7,496.9,7.6,5.44,91.1,2.1,188.3,Moderate,2015-05-24,2015,5,6,1
Kolkata,24-05-2015,480.3,551.1,41.7,0.49,43.0,53.2,375.2,Low,2015-05-24,2015,5,6,0
Bangalore,24-05-2015,30.4,54.7,47.1,8.16,99.1,90.2,301.2,High,2015-05-24,2015,5,6,2
Delhi,25-05-2015,98.2,87.4,118.3,0.11,2.3,130.2,85.2,High,2015-05-25,2015,5,0,2
Mumbai,25-05-2015,447.4,364.0,76.4,4.52,28.7,49.1,304.7,Low,2015-05-25,2015,5,0,0
Chennai,25-05-2015,364.1,176.7,113.7,8.26,39.0,142.4,365.9,Low,2015-05-25,2015,5,0,0
Kolkata,25-05-2015,248.5,183.5,121.7,6.6,42.3,108.0,129.7,High,2015-05-25,2015,5,0,2
Bangalore,25-05-2015,346.8,589.5,53.4,1.82,37.5,144.4,66.1,High,2015-05-25,2015,5,0,2
Delhi,26-05-2015,435.5,477.0,33.3,7.02,27.9,125.9,311.9,Low,2015-05-26,2015,5,1,0
Mumbai,26-05-2015,437.0,16.5,35.9,6.62,32.3,154.4,82.1,High,2015-05-26,2015,5,1,2
Chennai,26-05-2015,73.9,341.6,127.1,9.4,31.3,192.5,163.8,High,2015-05-26,2015,5,1,2
Kolkata,26-05-2015,281.6,567.7,58.6,8.88,77.7,171.6,46.0,High,2015-05-26,2015,5,1,2
Bangalore,26-05-2015,350.2,197.1,100.9,7.79,69.7,21.7,97.8,High,2015-05-26,2015,5,1,2
Delhi,27-05-2015,285.5,493.1,79.8,5.25,47.2,5.3,120.3,High,2015-05-27,2015,5,2,2
Mumbai,27-05-2015,332.4,251.1,3.8,1.75,6.7,27.1,150.0,High,2015-05-27,2015,5,2,2
Chennai,27-05-2015,464.9,110.3,103.0,0.93,81.0,189.4,51.4,Low,2015-05-27,2015,5,2,0
Kolkata,27-05-2015,92.8,415.2,115.2,0.8,58.8,43.0,200.7,High,2015-05-27,2015,5,2,2
Bangalore,27-05-2015,468.9,556.6,84.1,1.14,13.4,116.6,90.1,High,2015-05-27,2015,5,2,2
Delhi,28-05-2015,265.1,107.5,85.7,8.04,10.9,178.1,254.0,Low,2015-05-28,2015,5,3,0
Mumbai,28-05-2015,253.5,13.8,50.0,6.01,64.7,148.9,208.8,High,2015-05-28,2015,5,3,2
Chennai,28-05-2015,260.0,580.1,45.9,6.71,80.3,117.4,499.7,High,2015-05-28,2015,5,3,2
Kolkata,28-05-2015,94.8,290.7,16.4,7.5,47.5,106.9,51.9,Moderate,2015-05-28,2015,5,3,1
Bangalore,28-05-2015,462.3,111.8,71.1,6.51,66.6,59.7,86.8,Low,2015-05-28,2015,5,3,0
Delhi,29-05-2015,101.5,257.0,116.7,2.01,8.5,22.0,45.2,High,2015-05-29,2015,5,4,2
Mumbai,29-05-2015,56.4,315.1,12.4,0.17,42.5,154.0,235.4,High,2015-05-29,2015,5,4,2
Chennai,29-05-2015,146.4,14.3,10.6,9.33,17.3,52.3,112.9,Low,2015-05-29,2015,5,4,0
Kolkata,29-05-2015,135.9,546.4,32.0,1.71,51.3,116.3,111.8,High,2015-05-29,2015,5,4,2
Bangalore,29-05-2015,143.9,539.8,146.0,1.68,60.1,164.2,374.5,Low,2015-05-29,2015,5,4,0
Delhi,30-05-2015,277.1,569.3,129.0,9.01,29.1,182.4,44.8,High,2015-05-30,2015,5,5,2
Mumbai,30-05-2015,351.7,122.6,101.8,9.57,46.6,52.9,329.5,Low,2015-05-30,2015,5,5,0
Chennai,30-05-2015,148.3,83.9,79.7,2.31,96.1,147.8,191.7,Low,2015-05-30,2015,5,5,0
Kolkata,30-05-2015,198.4,109.2,57.9,1.84,6.5,118.5,108.9,Moderate,2015-05-30,2015,5,5,1
Bangalore,30-05-2015,91.3,77.0,133.9,3.58,7.9,120.5,419.1,High,2015-05-30,2015,5,5,2
Delhi,31-05-2015,182.1,575.3,90.2,4.79,99.1,187.6,497.6,Low,2015-05-31,2015,5,6,0
Mumbai,31-05-2015,98.0,524.0,36.6,0.75,24.1,167.3,129.6,High,2015-05-31,2015,5,6,2
Chennai,31-05-2015,139.8,564.3,97.4,3.2,2.2,103.4,139.4,Low,2015-05-31,2015,5,6,0
Kolkata,31-05-2015,211.4,458.2,112.0,2.24,44.7,108.8,277.2,High,2015-05-31,2015,5,6,2
Bangalore,31-05-2015,417.1,202.2,142.9,6.42,46.4,118.3,455.2,High,2015-05-31,2015,5,6,2
Delhi,01-06-2015,220.4,318.5,128.6,4.55,71.7,29.2,458.9,Moderate,2015-06-01,2015,6,0,1
Mumbai,01-06-2015,242.6,492.4,26.3,9.01,73.7,118.7,66.0,Moderate,2015-06-01,2015,6,0,1
Chennai,01-06-2015,212.8,402.6,148.0,4.02,68.3,192.0,157.3,High,2015-06-01,2015,6,0,2
Kolkata,01-06-2015,212.5,358.7,120.3,3.55,73.0,104.4,227.6,Low,2015-06-01,2015,6,0,0
Bangalore,01-06-2015,272.8,149.5,62.6,7.27,51.0,63.7,429.8,Low,2015-06-01,2015,6,0,0
Delhi,02-06-2015,198.1,120.4,98.3,2.8,10.1,115.9,489.9,Moderate,2015-06-02,2015,6,1,1
Mumbai,02-06-2015,166.7,388.3,131.2,9.97,36.6,94.7,425.4,High,2015-06-02,2015,6,1,2
Chennai,02-06-2015,477.1,339.1,59.9,8.76,60.1,161.4,314.3,Low,2015-06-02,2015,6,1,0
Kolkata,02-06-2015,89.6,185.6,38.4,9.76,71.8,73.5,449.3,High,2015-06-02,2015,6,1,2
Bangalore,02-06-2015,320.5,384.1,44.9,8.71,82.3,59.8,13.3,High,2015-06-02,2015,6,1,2
Delhi,03-06-2015,275.8,27.8,90.8,8.05,49.0,56.9,287.1,Low,2015-06-03,2015,6,2,0
Mumbai,03-06-2015,182.4,432.8,39.9,6.18,75.2,195.9,370.0,Moderate,2015-06-03,2015,6,2,1
Chennai,03-06-2015,132.0,219.9,100.5,6.21,5.7,199.7,0.5,Low,2015-06-03,2015,6,2,0
Kolkata,03-06-2015,196.4,363.2,146.4,9.76,35.9,73.4,287.5,High,2015-06-03,2015,6,2,2
Bangalore,03-06-2015,310.3,110.5,68.1,0.13,65.0,145.7,40.6,Moderate,2015-06-03,2015,6,2,1
Delhi,04-06-2015,447.8,308.8,140.2,2.5,27.6,178.5,14.4,Low,2015-06-04,2015,6,3,0
Mumbai,04-06-2015,64.3,356.6,91.3,2.14,87.6,71.3,399.0,Moderate,2015-06-04,2015,6,3,1
Chennai,04-06-2015,425.8,14.6,44.6,8.65,8.6,82.5,193.9,High,2015-06-04,2015,6,3,2
Kolkata,04-06-2015,239.0,418.6,128.5,2.53,72.0,54.4,55.8,High,2015-06-04,2015,6,3,2
Bangalore,04-06-2015,124.1,317.4,101.6,9.87,64.0,118.6,220.4,Low,2015-06-04,2015,6,3,0
Delhi,05-06-2015,258.3,148.4,34.5,3.84,74.6,148.0,221.9,Low,2015-06-05,2015,6,4,0
Mumbai,05-06-2015,166.0,456.0,11.9,9.9,81.3,163.2,431.1,Moderate,2015-06-05,2015,6,4,1
Chennai,05-06-2015,123.2,77.8,131.7,3.17,46.6,72.5,368.5,High,2015-06-05,2015,6,4,2
Kolkata,05-06-2015,35.2,113.6,107.2,3.53,31.2,71.3,317.9,Low,2015-06-05,2015,6,4,0
Bangalore,05-06-2015,9.8,468.0,104.1,9.29,93.7,24.9,403.5,Moderate,2015-06-05,2015,6,4,1
Delhi,06-06-2015,6.6,11.2,145.1,2.19,82.1,21.6,360.4,High,2015-06-06,2015,6,5,2
Mumbai,06-06-2015,76.7,104.0,139.8,3.56,26.0,82.4,358.7,High,2015-06-06,2015,6,5,2
Chennai,06-06-2015,89.8,400.4,25.9,4.97,82.9,160.1,469.1,Low,2015-06-06,2015,6,5,0
Kolkata,06-06-2015,94.0,599.6,85.1,5.07,27.9,141.4,25.9,High,2015-06-06,2015,6,5,2
Bangalore,06-06-2015,371.4,274.8,118.8,7.8,63.8,130.0,366.9,High,2015-06-06,2015,6,5,2
Delhi,07-06-2015,268.8,27.5,51.8,6.59,86.2,100.7,210.0,High,2015-06-07,2015,6,6,2
Mumbai,07-06-2015,443.4,44.6,83.2,7.75,46.8,71.9,197.4,High,2015-06-07,2015,6,6,2
Chennai,07-06-2015,178.9,357.0,78.2,2.03,96.2,180.0,268.7,Low,2015-06-07,2015,6,6,0
Kolkata,07-06-2015,183.9,354.6,41.3,6.23,95.1,9.3,438.6,High,2015-06-07,2015,6,6,2
Bangalore,07-06-2015,363.3,298.5,62.2,2.86,88.3,10.1,453.3,High,2015-06-07,2015,6,6,2
Delhi,08-06-2015,456.1,195.8,148.4,6.08,36.0,51.8,123.2,High,2015-06-08,2015,6,0,2
Mumbai,08-06-2015,139.4,87.5,64.9,3.12,80.3,10.9,242.3,Low,2015-06-08,2015,6,0,0
Chennai,08-06-2015,274.9,331.7,17.1,5.28,10.6,142.7,368.2,High,2015-06-08,2015,6,0,2
Kolkata,08-06-2015,109.6,40.7,10.8,4.52,9.7,103.5,83.7,High,2015-06-08,2015,6,0,2
Bangalore,08-06-2015,42.0,432.7,108.5,0.88,1.3,77.6,405.5,High,2015-06-08,2015,6,0,2
Delhi,09-06-2015,126.9,455.1,51.4,9.03,24.5,172.6,299.2,Low,2015-06-09,2015,6,1,0
Mumbai,09-06-2015,229.6,504.4,39.8,3.71,82.1,73.6,313.0,Moderate,2015-06-09,2015,6,1,1
Chennai,09-06-2015,77.4,483.9,19.7,3.91,38.6,2.1,44.4,Low,2015-06-09,2015,6,1,0
Kolkata,09-06-2015,437.3,510.2,49.2,6.65,10.4,174.7,341.1,Low,2015-06-09,2015,6,1,0
Bangalore,09-06-2015,428.2,460.9,127.6,9.2,91.8,18.3,370.8,High,2015-06-09,2015,6,1,2
Delhi,10-06-2015,424.1,388.5,144.3,6.82,27.1,75.6,87.7,High,2015-06-10,2015,6,2,2
Mumbai,10-06-2015,287.4,142.8,2.1,7.97,90.7,25.5,12.1,High,2015-06-10,2015,6,2,2
Chennai,10-06-2015,189.5,529.6,138.8,9.52,74.8,13.0,332.7,Low,2015-06-10,2015,6,2,0
Kolkata,10-06-2015,470.2,48.4,24.1,3.43,13.6,193.5,220.6,High,2015-06-10,2015,6,2,2
